,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
40,kev,02/13/2025,Privilege Escalation,CVE-2020-1472,Microsoft Netlogon Privilege Escalation Vulnerability,secondary_impact,T1133,External Remote Services,15.1,enterprise,,,,['https://cisa.gov/news-events/cybersecurity-advisories/aa20-283a'],"CVE-2020-1472 is a privilege escalation vulnerability in Windows Netlogon. After gaining initial access, the actors exploit CVE-2020-1472 to compromise all Active Directory (AD) identity services. Actors have then been observed using legitimate remote access tools, such as VPN and Remote Desktop Protocol (RDP), to access the environment with the compromised credentials.",,09/10/2024,02/11/2025
41,kev,02/13/2025,Code Execution,CVE-2021-21972,VMware vCenter Server Remote Code Execution Vulnerability,primary_impact,T1059,Command and Scripting Interpreter,15.1,enterprise,,,,"['https://outpost24.com/blog/attackers-collaborate-to-exploit-cve-2021-21972-and-cve-2021-21973/', 'https://www.ncsc.gov.uk/files/Advisory%20Further%20TTPs%20associated%20with%20SVR%20cyber%20actors.pdf']", CVE-2021-21972 is a RCE vulnerability affecting VMware vCenter servers. An attacker with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,,09/10/2024,02/11/2025
42,kev,02/13/2025,Code Execution,CVE-2021-21972,VMware vCenter Server Remote Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,"['https://outpost24.com/blog/attackers-collaborate-to-exploit-cve-2021-21972-and-cve-2021-21973/', 'https://www.ncsc.gov.uk/files/Advisory%20Further%20TTPs%20associated%20with%20SVR%20cyber%20actors.pdf']", CVE-2021-21972 is a RCE vulnerability affecting VMware vCenter servers. An attacker with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,,09/10/2024,02/11/2025
43,kev,02/13/2025,Code Execution,CVE-2021-27065,Microsoft Exchange Server Remote Code Execution Vulnerability,primary_impact,T1505.003,Web Shell,15.1,enterprise,,,,['https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/'],"CVE-2021-26858, part of Proxy Logon, is a post-authentication arbitrary file write vulnerability in Exchange. CVE-2021-26858 and CVE-2021-27065 are similar post-authentication arbitrary write file vulnerabilities in Exchange. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could write a file to any path on the server.",,09/10/2024,02/11/2025
44,kev,02/13/2025,Code Execution,CVE-2021-27065,Microsoft Exchange Server Remote Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,['https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/'],"CVE-2021-26858, part of Proxy Logon, is a post-authentication arbitrary file write vulnerability in Exchange. CVE-2021-26858 and CVE-2021-27065 are similar post-authentication arbitrary write file vulnerabilities in Exchange. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could write a file to any path on the server.",,09/10/2024,02/11/2025
45,kev,02/13/2025,Code Execution,CVE-2021-26858,Microsoft Exchange Server Remote Code Execution Vulnerability,primary_impact,T1505.003,Web Shell,15.1,enterprise,,,,['https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/'],"CVE-2021-26858, part of Proxy Logon, is a post-authentication arbitrary file write vulnerability in Exchange. CVE-2021-26858 and CVE-2021-27065 are similar post-authentication arbitrary write file vulnerabilities in Exchange. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could write a file to any path on the server.",,09/10/2024,02/11/2025
46,kev,02/13/2025,Code Execution,CVE-2021-26858,Microsoft Exchange Server Remote Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,['https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/'],"CVE-2021-26858, part of Proxy Logon, is a post-authentication arbitrary file write vulnerability in Exchange. CVE-2021-26858 and CVE-2021-27065 are similar post-authentication arbitrary write file vulnerabilities in Exchange. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could write a file to any path on the server.",,09/10/2024,02/11/2025
47,kev,02/13/2025,Code Execution,CVE-2021-26857,Microsoft Exchange Server Remote Code Execution Vulnerability,primary_impact,T1505.003,Web Shell,15.1,enterprise,,,,"['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a', 'https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/']","CVE-2021-26857, part of Proxy Logon, is an insecure deserialization vulnerability in the Unified Messaging service. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could execute arbitrary code as SYSTEM on the Exchange Server. Exploiting this vulnerability gave HAFNIUM the ability to run code as SYSTEM on the Exchange server. This requires administrator permission or another vulnerability to exploit.",,09/10/2024,02/11/2025
48,kev,02/13/2025,Code Execution,CVE-2021-26857,Microsoft Exchange Server Remote Code Execution Vulnerability,secondary_impact,T1133,External Remote Services,15.1,enterprise,,,,"['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a', 'https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/']","CVE-2021-26857, part of Proxy Logon, is an insecure deserialization vulnerability in the Unified Messaging service. An attacker, authenticated either by using CVE-2021-26855 or via stolen admin credentials, could execute arbitrary code as SYSTEM on the Exchange Server. Exploiting this vulnerability gave HAFNIUM the ability to run code as SYSTEM on the Exchange server. This requires administrator permission or another vulnerability to exploit.",,09/10/2024,02/11/2025
49,kev,02/13/2025,Code Execution,CVE-2021-26855,Microsoft Exchange Server Remote Code Execution Vulnerability,secondary_impact,T1005,Data from Local System,15.1,enterprise,,,,['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a'],"CVE-2021-26855, also known as ProxyLogon, allows an unauthenticated attacker to send arbitrary HTTP requests and authenticate as the Exchange Server. The vulnerability exploits the Exchange Control Panel (ECP) via a Server-Side Request Forgery (SSRF). This would also allow the attacker to gain access to mailboxes and read sensitive information.",,09/10/2024,02/11/2025
50,kev,02/13/2025,Code Execution,CVE-2021-26855,Microsoft Exchange Server Remote Code Execution Vulnerability,secondary_impact,T1505.003,Web Shell,15.1,enterprise,,,,['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a'],"CVE-2021-26855, also known as ProxyLogon, allows an unauthenticated attacker to send arbitrary HTTP requests and authenticate as the Exchange Server. The vulnerability exploits the Exchange Control Panel (ECP) via a Server-Side Request Forgery (SSRF). This would also allow the attacker to gain access to mailboxes and read sensitive information.",,09/10/2024,02/11/2025
51,kev,02/13/2025,Code Execution,CVE-2021-26855,Microsoft Exchange Server Remote Code Execution Vulnerability,primary_impact,T1090,Proxy,15.1,enterprise,,,,['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a'],CVE-2021-26855 allows an unauthenticated attacker to send arbitrary HTTP requests and authenticate as the Exchange Server. The vulnerability exploits the Exchange Control Panel (ECP) via a Server-Side Request Forgery (SSRF). This would also allow the attacker to gain access to mailboxes and read sensitive information.,,09/10/2024,02/11/2025
52,kev,02/13/2025,Code Execution,CVE-2021-26855,Microsoft Exchange Server Remote Code Execution Vulnerability,exploitation_technique,T1133,External Remote Services,15.1,enterprise,,,,['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-062a'],CVE-2021-26855 allows an unauthenticated attacker to send arbitrary HTTP requests and authenticate as the Exchange Server. The vulnerability exploits the Exchange Control Panel (ECP) via a Server-Side Request Forgery (SSRF). This would also allow the attacker to gain access to mailboxes and read sensitive information.,,09/10/2024,02/11/2025
